irradiancia_w_m2,temperatura_c
0.0,21.6
0.0,21.7
0.0,21.6
0.0,21.5
0.0,21.5
0.027777778,21.7
0.083333336,21.5
0.0,21.5
3.7222223,21.7
36.666668,22.2
189.83333,23.7
310.05554,24.7
543.6111,27.0
674.1389,26.9
576.7778,27.3
486.0,26.6
395.47223,26.9
71.44444,25.5
14.222222,24.7
24.833334,24.0
34.805557,24.1
11.055555,23.7
0.16666667,24.2
0.2777778,24.2
0.0,23.1
0.0,23.0
0.0,23.1
0.0,21.5
0.0,21.2
0.0,21.3
0.0,21.2
0.0,21.0
10.083333,20.9
150.38889,23.4
421.41666,24.3
632.8611,25.7
814.5278,27.4
831.3889,29.2
832.4722,29.7
684.3611,29.7
346.94446,27.4
229.27777,26.5
202.30556,26.2
172.97223,26.0
46.13889,24.4
2.1666667,23.3
0.0,23.1
0.0,23.2
0.0,23.3
0.0,22.9
0.0,22.8
0.0,22.9
0.0,23.0
0.0,22.8
0.0,22.5
0.0,22.2
12.361111,22.3
97.27778,23.5
315.69446,24.9
579.6389,27.2
847.05554,29.2
925.4167,30.0
958.6389,31.4
856.1389,31.0
340.72223,29.3
143.05556,27.8
70.69444,25.1
55.11111,25.5
26.86111,25.7
1.5,25.5
0.0,25.2
0.0,24.6
0.0,24.5
0.0,24.2
0.0,23.9
0.0,23.9
0.0,24.1
0.027777778,24.3
0.0,24.3
0.0,24.2
12.416667,24.0
93.72222,25.0
232.88889,25.3
393.30554,27.5
780.8333,28.1
939.3611,30.5
910.7778,30.9
703.7222,31.7
424.6111,30.3
834.2222,30.7
125.5,28.5
19.63889,25.8
37.805557,25.7
17.36111,24.3
0.0,22.9
0.0,22.0
0.0,21.9
0.0,22.0
0.0,21.9
0.0,21.8
0.0,21.5
0.0,21.3
0.0,21.3
0.0,21.4
10.277778,21.4
91.47222,23.7
374.16666,26.2
628.4722,28.0
820.5,31.1
966.8889,31.4
1042.2222,32.6
1007.6111,33.5
840.8333,33.7
764.80554,34.0
150.94444,32.5
92.69444,28.5
167.33333,27.2
15.333333,26.0
0.0,25.0
0.0,26.6
0.0,26.9
0.0,26.9
0.0,25.6
0.0,25.3
0.0,25.2
0.0,23.5
